journal,news,date
theguardian,FootballJim Ratcliffe could cut 300 jobs at Manchester United in streamlining ,2023-12-27 12:02:43
theguardian,BeerThe West Bank brewmaster hoping to keep her business bubbling along,2023-12-27 12:02:43
theguardian,GermanyFormer finance minister Wolfgang Schäuble dies aged 81,2023-12-27 12:02:43
theguardian,"PoliticsTories to promise help for first-time buyers in effort to lure voters, say reports",2023-12-27 12:02:43
theguardian,"Credit card and overdraft debt to rise by £5k a household by 2028, analysis shows",2023-12-27 12:02:43
theguardian,Consumer affairsAnd the winners of the 2023 awards for worst customer service are …,2023-12-27 12:02:43
theguardian,Automotive industryDaihatsu suspends production in Japan after safety test scandal,2023-12-27 12:02:43
theguardian,"Fuel forecourt prices in 2023 second highest on record, says AA ",2023-12-27 12:02:43
theguardian,Retail Boxing Day footfall rises but number of shoppers is well down on pre-Covid levels,2023-12-27 12:02:43
theguardian,‘Food bills are off the scale’How higher costs affect those with special dietary needs,2023-12-27 12:02:43
theguardian,Homes for sale in England with chimneys for Santa – in pictures,2023-12-27 12:02:43
theguardian,"Energy saving: the best deals in the UK sales, from bikes to air fryers",2023-12-27 12:02:43
theguardian,PropertyEngland has ‘twice as many empty homes as families stuck in B&Bs’,2023-12-27 12:02:43
theguardian,UK mortgages: trial to rule on deals that left people with huge debts,2023-12-27 12:02:43
theguardian,"Renting propertyIllegal evictions in England hit record high, but less than 1% of landlords convicted",2023-12-27 12:02:43
theguardian,Rail fare increase of 4.9% in England expected to exceed inflation ,2023-12-27 12:02:43
apnews,"
Stocks pushed higher on Wall Street, leaving the market with its sixth weekly gain in a row. That’s the longest such winning streak in four years.
",2023-12-27 12:02:43
apnews,"
Wall Street closed higher and held near all-time highs amid hopes that moves by Japan’s central bank to keep interest rates easy for investors could be a preview for the rest of the world.
",2023-12-27 12:02:43
apnews,"
Stocks closed higher on Wall Street at the start of a holiday-shortened week. Tech and industrial companies climbed, and energy companies rose along with oil prices.
",2023-12-27 12:02:43
apnews,"
Wall Street closed higher to break out of its first three-day losing streak since Halloween. The S&P 500 rose 0.8% Thursday and continues to hang near its highest level since March 2022.
",2023-12-27 12:02:43
apnews,"
The Associated Press is an independent global news organization dedicated to factual reporting. Founded in 1846, AP today remains the most trusted source of fast, accurate, unbiased news in all formats and the essential provider of the technology and services vital to the news business. More than half the world’s population sees AP journalism every day.
",2023-12-27 12:02:43
apnews,"
Stocks closed modestly higher on Wall Street, enough to push the Dow Jones Industrial Average to its second straight record high.
",2023-12-27 12:02:43
apnews,"
Asian shares are mixed after a seven-week winning streak on Wall Street cooled. U.S. futures were flat and oil prices edged higher.
",2023-12-27 12:02:43
apnews,"
Wall Street rose to its highest level since early 2022, just a bit below its record high, after a report showed inflation in the United States is behaving pretty much as expected.
",2023-12-27 12:02:43
apnews,"
Wall Street closed out its longest weekly winning streak in six years after big gains earlier in the week on hopes for lower interest rates in the U.S.
",2023-12-27 12:02:43
apnews,"
Asian shares are mixed after Wall Street rose to its highest level since early 2022, slightly below its record high, after a report showed inflation in the United States is behaving pretty much as expected.
",2023-12-27 12:02:43
apnews,"
Several strong profit reports helped Wall Street claw back most of its sharp loss from the prior day.
",2023-12-27 12:02:43
apnews,"
Benchmark U.S. crude oil for February delivery rose 78 cents to $74.22 per barrel Wednesday. Brent crude for February delivery rose 47 cents to $79.70 per barrel.
",2023-12-27 12:02:43
apnews,"
Stocks that traded heavily or had substantial price changes on Wednesday: Photronics, Vertex rise; Pfizer, Southwest Airlines fall.
",2023-12-27 12:02:43
apnews,"
Wall Street capped its eighth straight winning week with a quiet finish Friday following reports showing inflation on the way down and the economy potentially on the way up.
",2023-12-27 12:02:43
apnews,"
Shares have fallen in Asia after a retreat on Wall Street as crude oil prices slipped on expectations that supply might outpace demand.
",2023-12-27 12:02:43
apnews,"
Shares are mostly higher in Asia after several strong profit reports helped Wall Street claw back most of its sharp loss from day before.
",2023-12-27 12:02:43
apnews,"
Asian shares have churned higher after the Dow Jones Industrial Average climbed to another record high. U.S. futures and oil prices also advanced.
",2023-12-27 12:02:43
apnews,"
Stocks closed higher on Wall Street ahead of the Federal Reserve’s last meeting of the year. The S&P 500 rose 0.4% Monday.
",2023-12-27 12:02:43
apnews,"
Wall Street climbed to its highest level in 20 months following a stronger-than-expected report on the U.S. job market.
",2023-12-27 12:02:43
apnews,"
Wall Street drifted through mixed trading to put a quiet end to another rocking week. The S&P 500 finished nearly unchanged Friday, down less than 0.1%.
",2023-12-27 12:02:43
apnews,"
World shares have advanced, tracking gains on Wall Street after markets there reopened following Monday’s holiday. U.S. futures were mixed and oil prices slipped.
",2023-12-27 12:02:43
apnews,"
Wall Street closed higher following its first three-day losing streak since Halloween. The S&P 500 rose 0.8% Thursday and continued to hang near its highest level since March 2022.
",2023-12-27 12:02:43
apnews,"
Benchmark U.S. crude oil for February delivery fell 33 cents to $73.89 per barrel Thursday. Brent crude for February delivery fell 31 cents to $79.39 per barrel.
",2023-12-27 12:02:43
apnews,"
Most stocks slipped on Wall Street, but the market hung near its highest level in 20 months following a mixed set of reports on the economy.
",2023-12-27 12:02:43
apnews,"
It’s been a great year for stock markets around the world. Wall Street’s rally has been front and center, with the U.S. stock market the world’s largest and its clear leader in performance in recent years.
",2023-12-27 12:02:43
apnews,"
Wall Street slammed the brakes on its big rally following disappointing profit reports from companies and warnings that the market had simply gone too far, too fast.
",2023-12-27 12:02:43
apnews,"
Shares are mostly higher in Asia after a powerful rally across Wall Street sent the Dow Jones Industrial Average to a record high as the Federal Reserve indicated that interest rate cuts are likely next year.
",2023-12-27 12:02:43
apnews,"
Asian shares have mostly advanced after Wall Street ticked higher amid hopes that Japan’s moves to keep interest rates easy for investors could augur similar trends in the rest of the world.
",2023-12-27 12:02:43
apnews,"
Asia markets opened higher following a positive close on Wall Street. U.S. futures and oil prices advanced.
",2023-12-27 12:02:43
apnews,"
Stocks rallied and Treasury yields fell sharply after the Federal Reserve indicated that the cuts to interest rates Wall Street craves so much may be coming next year.
",2023-12-27 12:02:43
wsj,"Construction Loans, Like Holiday Guests, Might Hang Around Too Long",2023-12-27 12:02:43
wsj,How Food Stocks Spoiled in 2023,2023-12-27 12:02:43
wsj,Banking Crisis Plays Out at America’s Smallest Lenders,2023-12-27 12:02:43
wsj,How China Manages Its Currency—and Why That Matters,2023-12-27 12:02:43
wsj,Bidenomics Is Working for the Middle Class,2023-12-27 12:02:43
wsj,Stocks Rise to Start Last Trading Week of Year,2023-12-27 12:02:43
wsj,Nasdaq Set to Beat NYSE in IPO Race for Fifth Year in a Row,2023-12-27 12:02:43
wsj,Social Security Was Doomed From the Start,2023-12-27 12:02:43
wsj,"Abortion Pills, Fishing Boats and the Legal War on Experts",2023-12-27 12:02:43
wsj,How Can Spending Be Up When People Feel Down?,2023-12-27 12:02:43
wsj,"In Putin’s Russia, Snitching Enforces a United Front—and Revenge",2023-12-27 12:02:43
wsj,Joe Lieberman’s Push for Third-Party Ticket Draws Ire of Democrats—Again,2023-12-27 12:02:43
wsj,Snatching American Citizens: The New Tool of Hostile Governments,2023-12-27 12:02:43
wsj,California Dreamin’ of a Government That Actually Works,2023-12-27 12:02:43
ft,Fed rate pivot leaves stocks and bonds with ‘no room for error’,2023-12-27 12:02:43
ft,Financial services: pricing the risk of equities and long-term debt  Premium content,2023-12-27 12:02:43
ft,Chinese gaming stocks regain some ground as Beijing softens rhetoric,2023-12-27 12:02:43
ft,Brazil environment minister demands ‘ceiling’ on oil production,2023-12-27 12:02:43
ft,The great speculative era on markets is hard to kill,2023-12-27 12:02:43
ft,European plans for battery supply chain face delays as US lures components producers,2023-12-27 12:02:43
ft,Year in a word: Magnificent Seven,2023-12-27 12:02:43
ft,Financial services: stubborn discount marks UK stock market’s diminished appeal  Premium content,2023-12-27 12:02:43
ft,Why team transitory is still wrong,2023-12-27 12:02:43
ft,"Sign up to the Cryptofinance newsletter, and get the intelligence you need on the digital finance industry",2023-12-27 12:02:43
ft,Is the tide finally turning for unloved UK stocks? ,2023-12-27 12:02:43
ft,Apple fails to win reprieve over US Watch sales ban ,2023-12-27 12:02:43
ft,Investors lose taste for top Burgundies and vintage Champagne,2023-12-27 12:02:43
ft,The easy dream of someone else’s dollars,2023-12-27 12:02:43
ft,Bitcoin miners splash out $600mn in race to squeeze out rivals,2023-12-27 12:02:43
ft,Asian retail traders help drive 24-hour market for US stocks,2023-12-27 12:02:43
ft,OakNorth appoints Adair Turner as chair as it mulls IPO,2023-12-27 12:02:43
ft,Crypto industry steps up political donations as mood in Washington sours,2023-12-27 12:02:43
ft,Midsized US accounting firms retreat from public company audits ,2023-12-27 12:02:43
ft,Financial services: bank runs stoke accounting debate  Premium content,2023-12-27 12:02:43
ft,Financial services: turbulent bond market tests system Premium content,2023-12-27 12:02:43
ft,‘A fiction’: the fall of a fintech star accused of ‘massive fraud’,2023-12-27 12:02:43
ft,European ESG funds face fossil fuel showdown after French ruling,2023-12-27 12:02:43
ft,Indonesia’s Bank Mandiri ‘strikes back’ at fintech rivals,2023-12-27 12:02:43
ft,Saffron supplies dry up as climate change shrivels Iran’s ‘desert gold’,2023-12-27 12:02:43
yahoo,How to handle tax season after a market rally,2023-12-27 12:02:43
yahoo,Bitcoin has already priced in spot ETF approval: Expert,2023-12-27 12:02:43
theguardian,FootballJim Ratcliffe could cut 300 jobs at Manchester United in streamlining ,2023-12-27 12:03:44
theguardian,BeerThe West Bank brewmaster hoping to keep her business bubbling along,2023-12-27 12:03:44
theguardian,GermanyFormer finance minister Wolfgang Schäuble dies aged 81,2023-12-27 12:03:44
theguardian,"PoliticsTories to promise help for first-time buyers in effort to lure voters, say reports",2023-12-27 12:03:44
theguardian,"Credit card and overdraft debt to rise by £5k a household by 2028, analysis shows",2023-12-27 12:03:44
theguardian,Consumer affairsAnd the winners of the 2023 awards for worst customer service are …,2023-12-27 12:03:44
theguardian,Automotive industryDaihatsu suspends production in Japan after safety test scandal,2023-12-27 12:03:44
theguardian,"Fuel forecourt prices in 2023 second highest on record, says AA ",2023-12-27 12:03:44
theguardian,Retail Boxing Day footfall rises but number of shoppers is well down on pre-Covid levels,2023-12-27 12:03:44
theguardian,‘Food bills are off the scale’How higher costs affect those with special dietary needs,2023-12-27 12:03:44
theguardian,Homes for sale in England with chimneys for Santa – in pictures,2023-12-27 12:03:44
theguardian,"Energy saving: the best deals in the UK sales, from bikes to air fryers",2023-12-27 12:03:44
theguardian,PropertyEngland has ‘twice as many empty homes as families stuck in B&Bs’,2023-12-27 12:03:44
theguardian,UK mortgages: trial to rule on deals that left people with huge debts,2023-12-27 12:03:44
theguardian,"Renting propertyIllegal evictions in England hit record high, but less than 1% of landlords convicted",2023-12-27 12:03:44
theguardian,Rail fare increase of 4.9% in England expected to exceed inflation ,2023-12-27 12:03:44
apnews,"
Stocks pushed higher on Wall Street, leaving the market with its sixth weekly gain in a row. That’s the longest such winning streak in four years.
",2023-12-27 12:03:44
apnews,"
Wall Street closed higher and held near all-time highs amid hopes that moves by Japan’s central bank to keep interest rates easy for investors could be a preview for the rest of the world.
",2023-12-27 12:03:44
apnews,"
Stocks closed higher on Wall Street at the start of a holiday-shortened week. Tech and industrial companies climbed, and energy companies rose along with oil prices.
",2023-12-27 12:03:44
apnews,"
Wall Street closed higher to break out of its first three-day losing streak since Halloween. The S&P 500 rose 0.8% Thursday and continues to hang near its highest level since March 2022.
",2023-12-27 12:03:44
apnews,"
The Associated Press is an independent global news organization dedicated to factual reporting. Founded in 1846, AP today remains the most trusted source of fast, accurate, unbiased news in all formats and the essential provider of the technology and services vital to the news business. More than half the world’s population sees AP journalism every day.
",2023-12-27 12:03:44
apnews,"
Stocks closed modestly higher on Wall Street, enough to push the Dow Jones Industrial Average to its second straight record high.
",2023-12-27 12:03:44
apnews,"
Asian shares are mixed after a seven-week winning streak on Wall Street cooled. U.S. futures were flat and oil prices edged higher.
",2023-12-27 12:03:44
apnews,"
Wall Street rose to its highest level since early 2022, just a bit below its record high, after a report showed inflation in the United States is behaving pretty much as expected.
",2023-12-27 12:03:44
apnews,"
Wall Street closed out its longest weekly winning streak in six years after big gains earlier in the week on hopes for lower interest rates in the U.S.
",2023-12-27 12:03:44
apnews,"
Asian shares are mixed after Wall Street rose to its highest level since early 2022, slightly below its record high, after a report showed inflation in the United States is behaving pretty much as expected.
",2023-12-27 12:03:44
apnews,"
Several strong profit reports helped Wall Street claw back most of its sharp loss from the prior day.
",2023-12-27 12:03:44
apnews,"
Benchmark U.S. crude oil for February delivery rose 78 cents to $74.22 per barrel Wednesday. Brent crude for February delivery rose 47 cents to $79.70 per barrel.
",2023-12-27 12:03:44
apnews,"
Stocks that traded heavily or had substantial price changes on Wednesday: Photronics, Vertex rise; Pfizer, Southwest Airlines fall.
",2023-12-27 12:03:44
apnews,"
Wall Street capped its eighth straight winning week with a quiet finish Friday following reports showing inflation on the way down and the economy potentially on the way up.
",2023-12-27 12:03:44
apnews,"
Shares have fallen in Asia after a retreat on Wall Street as crude oil prices slipped on expectations that supply might outpace demand.
",2023-12-27 12:03:44
apnews,"
Shares are mostly higher in Asia after several strong profit reports helped Wall Street claw back most of its sharp loss from day before.
",2023-12-27 12:03:44
apnews,"
Asian shares have churned higher after the Dow Jones Industrial Average climbed to another record high. U.S. futures and oil prices also advanced.
",2023-12-27 12:03:44
apnews,"
Stocks closed higher on Wall Street ahead of the Federal Reserve’s last meeting of the year. The S&P 500 rose 0.4% Monday.
",2023-12-27 12:03:44
apnews,"
Wall Street climbed to its highest level in 20 months following a stronger-than-expected report on the U.S. job market.
",2023-12-27 12:03:44
apnews,"
Wall Street drifted through mixed trading to put a quiet end to another rocking week. The S&P 500 finished nearly unchanged Friday, down less than 0.1%.
",2023-12-27 12:03:44
apnews,"
World shares have advanced, tracking gains on Wall Street after markets there reopened following Monday’s holiday. U.S. futures were mixed and oil prices slipped.
",2023-12-27 12:03:44
apnews,"
Wall Street closed higher following its first three-day losing streak since Halloween. The S&P 500 rose 0.8% Thursday and continued to hang near its highest level since March 2022.
",2023-12-27 12:03:44
apnews,"
Benchmark U.S. crude oil for February delivery fell 33 cents to $73.89 per barrel Thursday. Brent crude for February delivery fell 31 cents to $79.39 per barrel.
",2023-12-27 12:03:44
apnews,"
Most stocks slipped on Wall Street, but the market hung near its highest level in 20 months following a mixed set of reports on the economy.
",2023-12-27 12:03:44
apnews,"
It’s been a great year for stock markets around the world. Wall Street’s rally has been front and center, with the U.S. stock market the world’s largest and its clear leader in performance in recent years.
",2023-12-27 12:03:44
apnews,"
Wall Street slammed the brakes on its big rally following disappointing profit reports from companies and warnings that the market had simply gone too far, too fast.
",2023-12-27 12:03:44
apnews,"
Shares are mostly higher in Asia after a powerful rally across Wall Street sent the Dow Jones Industrial Average to a record high as the Federal Reserve indicated that interest rate cuts are likely next year.
",2023-12-27 12:03:44
apnews,"
Asian shares have mostly advanced after Wall Street ticked higher amid hopes that Japan’s moves to keep interest rates easy for investors could augur similar trends in the rest of the world.
",2023-12-27 12:03:44
apnews,"
Asia markets opened higher following a positive close on Wall Street. U.S. futures and oil prices advanced.
",2023-12-27 12:03:44
apnews,"
Stocks rallied and Treasury yields fell sharply after the Federal Reserve indicated that the cuts to interest rates Wall Street craves so much may be coming next year.
",2023-12-27 12:03:44
wsj,"Construction Loans, Like Holiday Guests, Might Hang Around Too Long",2023-12-27 12:03:44
wsj,How Food Stocks Spoiled in 2023,2023-12-27 12:03:44
wsj,Banking Crisis Plays Out at America’s Smallest Lenders,2023-12-27 12:03:44
